Timestamp,What is your gender?,What is your height (in inches)?
1/25/2016 8:15,Female,63
1/25/2016 8:15,Female,62
1/25/2016 8:15,Male,69
1/25/2016 8:15,Female,68
1/25/2016 8:15,Male,71.65
1/25/2016 8:15,Male,75
1/25/2016 8:15,Male,68.8976
1/25/2016 8:15,Male,74
1/25/2016 8:15,Female,65
1/25/2016 8:15,Female,5'4
1/25/2016 8:15,Female,"5'8"""
1/25/2016 8:15,Female,5'5
1/25/2016 8:15,Female,64
1/25/2016 8:15,Female,67
1/25/2016 8:15,Male,69
1/25/2016 8:15,Male,5.8
1/25/2016 8:15,Female,67
1/25/2016 8:15,Female,68.8976
1/25/2016 8:15,Female,62.6
1/25/2016 8:15,Male,70
1/25/2016 8:15,Female,69
1/25/2016 8:15,Female,65
1/25/2016 8:15,Female,63
1/25/2016 8:15,Male,67.3
1/25/2016 8:16,Female,64.2
1/25/2016 8:16,Female,63
1/25/2016 8:16,Male,5.1
1/25/2016 8:16,Male,67
1/25/2016 8:16,Male,5.11
1/25/2016 8:16,Female,61
1/25/2016 8:16,Female,61
1/25/2016 8:17,Female,68.11
1/25/2016 8:17,Female,66.14
1/25/2016 8:18,Female,67.5
1/25/2016 8:19,Female,60
1/25/2016 8:20,Female,5.7
1/25/2016 8:24,Female,67.72
1/25/2016 8:28,Female,66
1/25/2016 8:29,Male,5'7
1/25/2016 8:34,Female,70
1/25/2016 14:39,Female,5'6
1/25/2016 16:32,Female,64.5
1/25/2016 16:57,Female,68
1/25/2016 19:52,Male,69
1/25/2016 21:18,Male,68
1/25/2016 22:02,Male,"5'11"""
1/25/2016 22:55,Male,76
1/25/2016 23:49,Male,70.8661
1/26/2016 0:09,Male,66
1/26/2016 3:51,Female,67
1/26/2016 8:36,I prefer not to disclose,"5'10"""
1/26/2016 8:42,Male,71
1/26/2016 9:49,Female,62.5
1/26/2016 9:49,Male,"5'7"""
1/26/2016 9:49,Male,5'7
1/26/2016 9:49,Male,172
1/26/2016 9:50,Female,60
1/26/2016 9:51,Male,67
1/26/2016 9:51,Female,5'8
1/26/2016 9:51,Male,75
1/26/2016 9:51,Male,65
1/26/2016 9:52,Male,65
1/26/2016 9:52,Female,64
1/26/2016 9:53,Female,62
1/26/2016 9:54,Male,180
1/26/2016 9:55,Male,75
1/26/2016 9:55,Male,"5' 11"""
1/26/2016 9:56,Female,67
1/26/2016 9:57,Male,72
1/26/2016 10:00,Female,5
1/26/2016 10:01,Male,68
1/26/2016 10:01,Female,64
1/26/2016 10:01,Male,180
1/26/2016 10:01,Male,180
1/26/2016 10:02,Male,"6'1"""
1/26/2016 10:03,Male,75.4
1/26/2016 10:05,Female,68
1/26/2016 10:08,Male,70
1/26/2016 10:09,Male,5.9
1/26/2016 10:12,Female,63
1/26/2016 10:13,Female,5.2
1/26/2016 10:15,Male,73
1/26/2016 10:15,Male,72
1/26/2016 10:21,Female,68
1/26/2016 10:27,Female,61
1/26/2016 10:36,Female,60
1/26/2016 10:40,Male,5.5
1/26/2016 10:40,Female,63
1/26/2016 10:44,Male,67
1/26/2016 10:53,Female,"69"""
1/26/2016 10:57,Male,74
1/26/2016 11:00,Female,68
1/26/2016 11:12,Male,70
1/26/2016 11:14,Male,73
1/26/2016 11:19,Male,70
1/26/2016 11:24,Female,60
1/26/2016 11:34,Female,66
1/26/2016 11:53,Female,68
1/26/2016 11:55,Male,"5' 7"""
1/26/2016 11:57,Male,65
1/26/2016 12:02,Male,71
1/26/2016 12:02,Female,5'10''
1/26/2016 12:38,Male,65
1/26/2016 12:42,Male,72.8346
1/26/2016 13:09,Female,5.51
1/26/2016 13:25,Male,5'10
1/26/2016 13:27,Male,70
1/26/2016 13:28,Female,65
1/26/2016 13:46,Male,5'10
1/26/2016 14:02,Male,70
1/26/2016 15:05,Female,67.7
1/26/2016 15:16,Female,62
1/26/2016 15:19,Male,5ft 9 inches
1/26/2016 15:19,Male,5 ft 9 inches
1/26/2016 15:38,Female,5'2
1/26/2016 16:20,Male,74
1/26/2016 16:42,Male,5'11
1/26/2016 16:46,Female,70
1/26/2016 17:03,Male,64
1/26/2016 17:38,Male,73
1/26/2016 18:01,Male,70
1/26/2016 18:34,Male,66
1/26/2016 18:34,Male,66
1/26/2016 18:55,Male,5.8
1/26/2016 18:57,Female,62
1/26/2016 19:13,Female,66
1/26/2016 19:18,Female,64
1/26/2016 19:55,Male,67
1/26/2016 20:03,Male,71
1/26/2016 20:14,Male,78
1/26/2016 21:17,Male,69
1/26/2016 21:25,Female,5.7
1/26/2016 21:38,Male,70
1/26/2016 21:46,Female,65
1/26/2016 22:42,Male,70
1/26/2016 23:08,Male,167
1/26/2016 23:20,Male,71
1/27/2016 1:38,Male,68
1/27/2016 1:42,Female,67
1/27/2016 3:15,Male,168
1/27/2016 6:29,Female,64
1/27/2016 7:42,Male,68
1/27/2016 8:27,Female,60
1/27/2016 9:34,Female,64
1/27/2016 11:48,Male,73.2
1/27/2016 16:10,Male,6
1/27/2016 18:39,Male,71
1/27/2016 20:42,Female,67
